source,ts,action,request_id,old_type,new_type,dest_id
WS 1,0 days 00:00:00.213000,received,0,,,
WS 1,0 days 00:00:00.213000,queued,0,,,
WS 1,0 days 00:00:00.213000,started,0,,,
WS 1,0 days 00:00:00.670000,received,1,,,
WS 1,0 days 00:00:00.670000,queued,1,,,
WS 1,0 days 00:00:01.295000,received,2,,,
WS 1,0 days 00:00:01.295000,queued,2,,,
WS 1,0 days 00:00:03.180000,received,4,,,
WS 1,0 days 00:00:03.180000,queued,4,,,
WS 1,0 days 00:00:04.063000,received,5,,,
WS 1,0 days 00:00:04.063000,queued,5,,,
WS 1,0 days 00:00:04.833000,received,6,,,
WS 1,0 days 00:00:04.833000,queued,6,,,
WS 1,0 days 00:00:04.870000,received,7,,,
WS 1,0 days 00:00:04.870000,rejected,7,,,
WS 1,0 days 00:00:05.419000,received,8,,,
WS 1,0 days 00:00:05.419000,rejected,8,,,
WS 1,0 days 00:00:05.474000,received,9,,,
WS 1,0 days 00:00:05.474000,rejected,9,,,
WS 1,0 days 00:00:07.300000,received,11,,,
WS 1,0 days 00:00:07.300000,rejected,11,,,
WS 1,0 days 00:00:08.079000,received,12,,,
WS 1,0 days 00:00:08.079000,rejected,12,,,
WS 1,0 days 00:00:09.499000,received,16,,,
WS 1,0 days 00:00:09.499000,rejected,16,,,
WS 1,0 days 00:00:10.071000,swapped,0,type3,type1,
WS 1,0 days 00:00:10.071000,forwarded,0,,,2.0
WS 1,0 days 00:00:10.071000,processed,0,,,
WS 1,0 days 00:00:10.071000,started,1,,,
WS 1,0 days 00:00:10.567000,received,17,,,
WS 1,0 days 00:00:10.567000,queued,17,,,
WS 1,0 days 00:00:11.825000,received,18,,,
WS 1,0 days 00:00:11.825000,rejected,18,,,
WS 1,0 days 00:00:13.891000,swapped,1,type3,type1,
WS 1,0 days 00:00:13.891000,forwarded,1,,,2.0
WS 1,0 days 00:00:13.891000,processed,1,,,
WS 1,0 days 00:00:13.891000,started,2,,,
WS 1,0 days 00:00:16.934000,swapped,2,type1,type3,
WS 1,0 days 00:00:16.934000,forwarded,2,,,3.0
WS 1,0 days 00:00:16.934000,processed,2,,,
WS 1,0 days 00:00:16.934000,started,4,,,
WS 1,0 days 00:00:17.565000,received,20,,,
WS 1,0 days 00:00:17.565000,queued,20,,,
WS 1,0 days 00:00:17.607000,received,21,,,
WS 1,0 days 00:00:17.607000,queued,21,,,
WS 1,0 days 00:00:17.882000,received,22,,,
WS 1,0 days 00:00:17.882000,rejected,22,,,
WS 1,0 days 00:00:19.783000,swapped,4,type1,type3,
WS 1,0 days 00:00:19.783000,forwarded,4,,,3.0
WS 1,0 days 00:00:19.783000,processed,4,,,
WS 1,0 days 00:00:19.783000,started,5,,,
WS 1,0 days 00:00:19.927000,received,23,,,
WS 1,0 days 00:00:19.927000,queued,23,,,
WS 1,0 days 00:00:20.701000,received,24,,,
WS 1,0 days 00:00:20.701000,rejected,24,,,
WS 1,0 days 00:00:20.900000,received,25,,,
WS 1,0 days 00:00:20.900000,rejected,25,,,
WS 1,0 days 00:00:21.175000,received,27,,,
WS 1,0 days 00:00:21.175000,rejected,27,,,
WS 1,0 days 00:00:21.810000,swapped,5,type1,type3,
WS 1,0 days 00:00:21.810000,forwarded,5,,,3.0
WS 1,0 days 00:00:21.810000,processed,5,,,
WS 1,0 days 00:00:21.810000,started,6,,,
WS 1,0 days 00:00:21.849000,swapped,6,type1,type2,
WS 1,0 days 00:00:21.849000,forwarded,6,,,2.0
WS 1,0 days 00:00:21.849000,processed,6,,,
WS 1,0 days 00:00:21.849000,started,17,,,
WS 1,0 days 00:00:23.099000,received,28,,,
WS 1,0 days 00:00:23.099000,queued,28,,,
WS 1,0 days 00:00:24.264000,received,29,,,
WS 1,0 days 00:00:24.264000,queued,29,,,
WS 1,0 days 00:00:24.414000,received,30,,,
WS 1,0 days 00:00:24.414000,rejected,30,,,
WS 1,0 days 00:00:24.638000,received,31,,,
WS 1,0 days 00:00:24.638000,rejected,31,,,
WS 1,0 days 00:00:24.855000,swapped,17,type1,type3,
WS 1,0 days 00:00:24.855000,forwarded,17,,,3.0
WS 1,0 days 00:00:24.855000,processed,17,,,
WS 1,0 days 00:00:24.855000,started,20,,,
WS 1,0 days 00:00:25.009000,received,32,,,
WS 1,0 days 00:00:25.009000,queued,32,,,
WS 1,0 days 00:00:25.282000,swapped,20,type3,type1,
WS 1,0 days 00:00:25.282000,forwarded,20,,,2.0
WS 1,0 days 00:00:25.282000,processed,20,,,
WS 1,0 days 00:00:25.282000,started,21,,,
WS 1,0 days 00:00:26.545000,received,33,,,
WS 1,0 days 00:00:26.545000,queued,33,,,
WS 1,0 days 00:00:26.693000,received,34,,,
WS 1,0 days 00:00:26.693000,rejected,34,,,
WS 1,0 days 00:00:26.870000,received,35,,,
WS 1,0 days 00:00:26.870000,rejected,35,,,
WS 1,0 days 00:00:27.537000,received,36,,,
WS 1,0 days 00:00:27.537000,rejected,36,,,
WS 1,0 days 00:00:29.321000,swapped,21,type3,type1,
WS 1,0 days 00:00:29.321000,forwarded,21,,,2.0
WS 1,0 days 00:00:29.321000,processed,21,,,
WS 1,0 days 00:00:29.321000,started,23,,,
WS 1,0 days 00:00:29.414000,swapped,23,type1,type3,
WS 1,0 days 00:00:29.414000,forwarded,23,,,3.0
WS 1,0 days 00:00:29.414000,processed,23,,,
WS 1,0 days 00:00:29.414000,started,28,,,
WS 1,0 days 00:00:29.985000,swapped,28,type1,type3,
WS 1,0 days 00:00:29.985000,forwarded,28,,,3.0
WS 1,0 days 00:00:29.985000,processed,28,,,
WS 1,0 days 00:00:29.985000,started,29,,,
WS 1,0 days 00:00:30.012000,received,37,,,
WS 1,0 days 00:00:30.012000,queued,37,,,
WS 1,0 days 00:00:30.160000,received,38,,,
WS 1,0 days 00:00:30.160000,queued,38,,,
WS 1,0 days 00:00:31.536000,received,39,,,
WS 1,0 days 00:00:31.536000,queued,39,,,
WS 1,0 days 00:00:33.969000,received,40,,,
WS 1,0 days 00:00:33.969000,rejected,40,,,
WS 1,0 days 00:00:34.268000,swapped,29,type3,type1,
WS 1,0 days 00:00:34.268000,forwarded,29,,,2.0
WS 1,0 days 00:00:34.268000,processed,29,,,
WS 1,0 days 00:00:34.268000,started,32,,,
WS 1,0 days 00:00:34.645000,received,41,,,
WS 1,0 days 00:00:34.645000,queued,41,,,
WS 1,0 days 00:00:34.748000,received,42,,,
WS 1,0 days 00:00:34.748000,rejected,42,,,
WS 1,0 days 00:00:34.813000,swapped,32,type3,type1,
WS 1,0 days 00:00:34.813000,forwarded,32,,,2.0
WS 1,0 days 00:00:34.813000,processed,32,,,
WS 1,0 days 00:00:34.813000,started,33,,,
WS 1,0 days 00:00:40.229000,swapped,33,type1,type3,
WS 1,0 days 00:00:40.229000,forwarded,33,,,3.0
WS 1,0 days 00:00:40.229000,processed,33,,,
WS 1,0 days 00:00:40.229000,started,37,,,
WS 1,0 days 00:00:40.451000,received,43,,,
WS 1,0 days 00:00:40.451000,queued,43,,,
WS 1,0 days 00:00:40.953000,swapped,37,type3,type1,
WS 1,0 days 00:00:40.953000,forwarded,37,,,2.0
WS 1,0 days 00:00:40.953000,processed,37,,,
WS 1,0 days 00:00:40.953000,started,38,,,
WS 1,0 days 00:00:42.493000,received,44,,,
WS 1,0 days 00:00:42.493000,queued,44,,,
WS 1,0 days 00:00:44.207000,swapped,38,type1,type2,
WS 1,0 days 00:00:44.207000,forwarded,38,,,2.0
WS 1,0 days 00:00:44.207000,processed,38,,,
WS 1,0 days 00:00:44.207000,started,39,,,
WS 1,0 days 00:00:45.899000,swapped,39,type1,type3,
WS 1,0 days 00:00:45.899000,forwarded,39,,,3.0
WS 1,0 days 00:00:45.899000,processed,39,,,
WS 1,0 days 00:00:45.899000,started,41,,,
WS 1,0 days 00:00:46.774000,received,47,,,
WS 1,0 days 00:00:46.774000,queued,47,,,
WS 1,0 days 00:00:46.810000,swapped,41,type1,type3,
WS 1,0 days 00:00:46.810000,forwarded,41,,,3.0
WS 1,0 days 00:00:46.810000,processed,41,,,
WS 1,0 days 00:00:46.810000,started,43,,,
WS 1,0 days 00:00:48.568000,swapped,43,type1,type3,
WS 1,0 days 00:00:48.568000,forwarded,43,,,3.0
WS 1,0 days 00:00:48.568000,processed,43,,,
WS 1,0 days 00:00:48.568000,started,44,,,
WS 1,0 days 00:00:50.572000,swapped,44,type3,type1,
WS 1,0 days 00:00:50.572000,forwarded,44,,,2.0
WS 1,0 days 00:00:50.572000,processed,44,,,
WS 1,0 days 00:00:50.572000,started,47,,,
WS 1,0 days 00:00:51.410000,swapped,47,type3,type1,
WS 1,0 days 00:00:51.410000,forwarded,47,,,2.0
WS 1,0 days 00:00:51.410000,processed,47,,,
WS 1,0 days 00:00:55.160000,received,52,,,
WS 1,0 days 00:00:55.160000,queued,52,,,
WS 1,0 days 00:00:55.160000,started,52,,,
WS 1,0 days 00:00:55.328000,received,53,,,
WS 1,0 days 00:00:55.328000,queued,53,,,
WS 1,0 days 00:00:55.703000,swapped,52,type1,type3,
WS 1,0 days 00:00:55.703000,forwarded,52,,,3.0
WS 1,0 days 00:00:55.703000,processed,52,,,
WS 1,0 days 00:00:55.703000,started,53,,,
WS 1,0 days 00:00:55.835000,received,54,,,
WS 1,0 days 00:00:55.835000,queued,54,,,
WS 1,0 days 00:00:56.321000,received,55,,,
WS 1,0 days 00:00:56.321000,queued,55,,,
